,community.type,Day,method,Treatment,Df,mean.sq,Fs,ps,qs
210,PICRUSTs2,day10,bray,glucose,1,0.000335855,0.061459367,0.805563889,0.839285168
211,PICRUSTs2,day10,bray,leucine,1,0.062188728,6.676870548,0.009699806,0.017956666
212,PICRUSTs2,day10,bray,citrate,1,0.003452811,0.373059205,0.539249215,0.595033617
213,PICRUSTs2,day10,jaccard,all,7,0.11679212,7.254498223,2.00E-05,5.53E-05
214,PICRUSTs2,day10,jaccard,glucose,1,0.000172074,0.021392884,0.885082298,0.901174704
215,PICRUSTs2,day10,jaccard,leucine,1,0.097098278,6.637812775,0.01047979,0.019241582
216,PICRUSTs2,day10,jaccard,citrate,1,0.008068677,0.521040333,0.471730565,0.544678591
217,PICRUSTs2,day12,bray,all,7,0.052995217,9.232581646,2.00E-05,5.53E-05
218,PICRUSTs2,day12,bray,glucose,1,0.033593847,5.808037116,0.016859663,0.02950441
219,PICRUSTs2,day12,bray,leucine,1,0.216942598,32.66697453,2.00E-05,5.53E-05
220,PICRUSTs2,day12,bray,citrate,1,0.002612894,0.404894132,0.522629547,0.582432928
221,PICRUSTs2,day12,jaccard,all,7,0.10569215,10.05067861,2.00E-05,5.53E-05
222,PICRUSTs2,day12,jaccard,glucose,1,0.049863718,5.17926226,0.023879522,0.040218143
223,PICRUSTs2,day12,jaccard,leucine,1,0.38512558,33.52698603,2.00E-05,5.53E-05
224,PICRUSTs2,day12,jaccard,citrate,1,0.005584706,0.519362242,0.470590588,0.544678591
